"Rank";"Name";"Platform";"Year";"Genre";"Publisher";"Global_Sales"
3;"Mario Kart Wii";"Wii";"2008";"Racing";"Nintendo";35,82
4;"Wii Sports Resort";"Wii";"2009";"Sports";"Nintendo";33
9;"New Super Mario Bros. Wii";"Wii";"2009";"Platform";"Nintendo";28,62
14;"Wii Fit";"Wii";"2007";"Sports";"Nintendo";22,72
15;"Wii Fit Plus";"Wii";"2009";"Sports";"Nintendo";22
16;"Kinect Adventures!";"X360";"2010";"Misc";"Microsoft Game Studios";21,82
17;"Grand Theft Auto V";"PS3";"2013";"Action";"Take-Two Interactive";21,4
24;"Grand Theft Auto V";"X360";"2013";"Action";"Take-Two Interactive";16,38
27;"Pokemon Black/Pokemon White";"DS";"2010";"Role-Playing";"Nintendo";15,32
30;"Call of Duty: Modern Warfare 3";"X360";"2011";"Shooter";"Activision";14,76
32;"Call of Duty: Black Ops";"X360";"2010";"Shooter";"Activision";14,64
33;"Pokemon X/Pokemon Y";"3DS";"2013";"Role-Playing";"Nintendo";14,35
34;"Call of Duty: Black Ops 3";"PS4";"2015";"Shooter";"Activision";14,24
35;"Call of Duty: Black Ops II";"PS3";"2012";"Shooter";"Activision";14,03
36;"Call of Duty: Black Ops II";"X360";"2012";"Shooter";"Activision";13,73
37;"Call of Duty: Modern Warfare 2";"X360";"2009";"Shooter";"Activision";13,51
38;"Call of Duty: Modern Warfare 3";"PS3";"2011";"Shooter";"Activision";13,46
40;"Super Smash Bros. Brawl";"Wii";"2008";"Fighting";"Nintendo";13,04
41;"Call of Duty: Black Ops";"PS3";"2010";"Shooter";"Activision";12,73
43;"Mario Kart 7";"3DS";"2011";"Racing";"Nintendo";12,21
44;"Halo 3";"X360";"2007";"Shooter";"Microsoft Game Studios";12,14
45;"Grand Theft Auto V";"PS4";"2014";"Action";"Take-Two Interactive";11,98
46;"Pokemon HeartGold/Pokemon SoulSilver";"DS";"2009";"Action";"Nintendo";11,9
